id_sale,qty_sale,total_price,date_sale,status,created_at,updated_at
1,2,47000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
2,5,119000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
3,3,69000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
4,4,90000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
5,2,40000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
6,1,22000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
7,5,108000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
8,5,116000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
9,3,69000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
10,4,88000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
11,4,87000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
12,5,112000,2021-07-01,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
13,4,76000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
14,5,104000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
15,1,22000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
16,4,94000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
17,2,43000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
18,1,18000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
19,2,47000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
20,3,65000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
21,3,68000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
22,3,65000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
23,3,72000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
24,4,87000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
25,2,44000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
26,3,69000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
27,2,43000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
28,5,109000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
29,5,118000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
30,4,87000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
31,3,69000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
32,2,40000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
33,1,22000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
34,2,40000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
35,5,112000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
36,2,44000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
37,5,109000,2021-07-02,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
38,1,25000,2021-07-03,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
39,4,87000,2021-07-03,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
40,4,86000,2021-07-03,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
41,1,22000,2021-07-03,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
42,4,93000,2021-07-03,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
43,4,80000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
44,4,83000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
45,2,40000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
46,3,68000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
47,5,116000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
48,5,110000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
49,3,69000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
50,4,93000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
51,1,25000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
52,1,22000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
53,3,65000,2021-07-04,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
54,5,119000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
55,3,58000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
56,2,43000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
57,4,91000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
58,1,25000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
59,1,25000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
60,4,90000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
61,2,50000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
62,5,106000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
63,2,40000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
64,5,122000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
65,1,22000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
66,5,112000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
67,5,115000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
68,5,104000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
69,2,47000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
70,4,83000,2021-07-05,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
71,3,62000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
72,1,18000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
73,5,112000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
74,1,25000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
75,1,18000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
76,4,87000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
77,2,47000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
78,5,102000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
79,2,36000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
80,4,87000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
81,1,18000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
82,2,40000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
83,1,25000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
84,4,79000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
85,3,62000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
86,3,61000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
87,3,65000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
88,2,47000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
89,3,61000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
90,3,62000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
91,5,101000,2021-07-06,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
92,4,97000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
93,3,69000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
94,3,62000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
95,4,90000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
96,4,83000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
97,1,25000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
98,3,65000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
99,4,79000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
100,2,36000,2021-07-07,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
101,4,83000,2021-07-08,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
102,2,44000,2021-07-08,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
103,4,94000,2021-07-08,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
104,3,58000,2021-07-08,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
105,5,98000,2021-07-08,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
106,1,25000,2021-07-08,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
107,1,18000,2021-07-09,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
108,3,69000,2021-07-09,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
109,5,98000,2021-07-09,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
110,2,47000,2021-07-09,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
111,1,18000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
112,5,109000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
113,3,58000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
114,1,18000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
115,5,115000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
116,2,47000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
117,4,76000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
118,2,43000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
119,4,86000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
120,4,83000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
121,3,66000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
122,2,43000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
123,5,102000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
124,5,115000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
125,1,25000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
126,4,80000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
127,2,47000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
